win,lose,probability
Toronto Raptors,New Orleans Pelicans,0.876258418
Los Angeles Clippers,Los Angeles Lakers,0.609180271
Charlotte Hornets,Chicago Bulls,0.819787389
Indiana Pacers,Detroit Pistons,0.650100733
Orlando Magic,Cleveland Cavaliers,0.909378474
Brooklyn Nets,Minnesota Timberwolves,0.594417319
Miami Heat,Memphis Grizzlies,0.594264784
Philadelphia 76ers,Boston Celtics,0.64566523
Washington Wizards,Dallas Mavericks,0.507732136
San Antonio Spurs,New York Knicks,0.946929232
Oklahoma City Thunder,Utah Jazz,0.502066918
Sacramento Kings,Phoenix Suns,0.879903115
Portland Trail Blazers,Denver Nuggets,0.514695573
Detroit Pistons,Atlanta Hawks,0.71379292
Houston Rockets,Milwaukee Bucks,0.5241611
Golden State Warriors,Los Angeles Clippers,0.757999627
Toronto Raptors,Boston Celtics,0.6193614
Charlotte Hornets,Minnesota Timberwolves,0.590919164
Brooklyn Nets,New York Knicks,0.883637776
Memphis Grizzlies,Chicago Bulls,0.800530821
New Orleans Pelicans,Dallas Mavericks,0.520230125
Oklahoma City Thunder,Washington Wizards,0.797861101
Denver Nuggets,Phoenix Suns,0.966085019
Portland Trail Blazers,Sacramento Kings,0.729245745
Utah Jazz,Los Angeles Lakers,0.56831402
Milwaukee Bucks,Miami Heat,0.781650662
Philadelphia 76ers,Detroit Pistons,0.747585059
Orlando Magic,Atlanta Hawks,0.765246697
Boston Celtics,New York Knicks,0.945785092
Toronto Raptors,Chicago Bulls,0.952642653
Indiana Pacers,Cleveland Cavaliers,0.91942983
Houston Rockets,New Orleans Pelicans,0.822207613
San Antonio Spurs,Washington Wizards,0.788621014
Utah Jazz,Sacramento Kings,0.730617534
Los Angeles Clippers,Phoenix Suns,0.933211529
Golden State Warriors,Oklahoma City Thunder,0.562293851
Memphis Grizzlies,Brooklyn Nets,0.523572913
Portland Trail Blazers,Dallas Mavericks,0.776282676
Miami Heat,Minnesota Timberwolves,0.550960087
Los Angeles Lakers,Charlotte Hornets,0.588152899
Chicago Bulls,New York Knicks,0.694353984
Indiana Pacers,Detroit Pistons,0.571042983
Toronto Raptors,Orlando Magic,0.789586312
Philadelphia 76ers,Atlanta Hawks,0.875674339
Houston Rockets,Oklahoma City Thunder,0.594799828
Milwaukee Bucks,Cleveland Cavaliers,0.963332575
Golden State Warriors,New Orleans Pelicans,0.8199995
San Antonio Spurs,Portland Trail Blazers,0.525834671
Utah Jazz,Phoenix Suns,0.94195668
Denver Nuggets,Sacramento Kings,0.756934773
Los Angeles Clippers,Charlotte Hornets,0.669099964
Miami Heat,Atlanta Hawks,0.757518332
Denver Nuggets,Dallas Mavericks,0.834237839
Los Angeles Lakers,Memphis Grizzlies,0.622102722
Chicago Bulls,Cleveland Cavaliers,0.687082279
Orlando Magic,New York Knicks,0.91286394
Philadelphia 76ers,Minnesota Timberwolves,0.81628875
Milwaukee Bucks,Boston Celtics,0.559650455
Indiana Pacers,Brooklyn Nets,0.529643533
Toronto Raptors,Detroit Pistons,0.85563477
Oklahoma City Thunder,Portland Trail Blazers,0.539859497
Houston Rockets,Washington Wizards,0.762581376
Charlotte Hornets,Sacramento Kings,0.514582088
Utah Jazz,Los Angeles Clippers,0.587143584
Golden State Warriors,Phoenix Suns,0.973696996
Miami Heat,Atlanta Hawks,0.739354436
Denver Nuggets,New Orleans Pelicans,0.777514154
San Antonio Spurs,Los Angeles Clippers,0.523851411
Houston Rockets,Brooklyn Nets,0.6827128
Indiana Pacers,Cleveland Cavaliers,0.908434135
Milwaukee Bucks,Orlando Magic,0.651536624
Boston Celtics,New York Knicks,0.939070491
Detroit Pistons,Chicago Bulls,0.817236363
Los Angeles Lakers,Dallas Mavericks,0.639208038
Utah Jazz,Sacramento Kings,0.665890258
Golden State Warriors,San Antonio Spurs,0.695040386
Oklahoma City Thunder,New Orleans Pelicans,0.801816201
Detroit Pistons,Brooklyn Nets,0.516681313
Denver Nuggets,Orlando Magic,0.639731587
Memphis Grizzlies,Phoenix Suns,0.883898208
Milwaukee Bucks,Toronto Raptors,0.522371271
Minnesota Timberwolves,Washington Wizards,0.504589996
Golden State Warriors,Charlotte Hornets,0.835261552
Portland Trail Blazers,Philadelphia 76ers,0.50909799
Indiana Pacers,Chicago Bulls,0.862921402
Houston Rockets,Miami Heat,0.670051278
Sacramento Kings,New York Knicks,0.881256181
San Antonio Spurs,Los Angeles Lakers,0.684738757
Dallas Mavericks,Cleveland Cavaliers,0.867574935
